Player
playerid,name,position,born,height,weight,yearspro,team
559,Ira Newble,Forward - Guard,1975-1-20,6-7/2,01,220 lbs./99,8  kg.,7,CLE
560,Andres Nocioni,Forward,1979-11-30,6-7/2,01,225 lbs./102,1 kg.,3,CHI
561,Dirk Nowitzki,Forward,1978-6-19,7-0/2,13,245 lbs./111,1 kg.,9,DAL
562,Patrick O&039;Bryant,Center,1986-6-20,7-0/2,13,250 lbs./113,4 kg.,1,GSW
563,Jermaine O&039;Neal,Forward - Center,1978-10-13,6-1/ 2,11,260 lbs./117,9 kg.,11,IND
564,Shaquille O&039;Neal,Center,1972-3-6,7-1/2,16,325 lbs./147,4 kg.,15,MIA
565,Fabricio Oberto,Center,1975-3-21,6-1/ 2,08,245 lbs./111,1 kg.,2,SAS
566,Emeka Okafor,Center - Forward,1982-9-28,6-1/ 2,08,255 lbs./115,7 kg.,3,CHA
567,Mehmet Okur,Center,1979-5-26,6-1/ 2,11,263 lbs./119,3 kg.,5,UTA
568,Travis Outlaw,Forward,1984-9-18,6-9/2,06,215 lbs./97,5  kg.,4,POR
569,Andre Owens,Guard,1980-10-31,6-4/1,93,200 lbs./90,7  kg.,1,IND
570,Jannero Pargo,Guard,1979-10-22,6-1/1,85,175 lbs./79,4  kg.,5,NOH
571,Anthony Parker,Guard - Forward,1975-6-19,6-6/1,98,215 lbs./97,5  kg.,4,TOR
572,Smush Parker,Guard,1981-6-1,6-4/1,93,190 lbs./86,2  kg.,4,MIA
573,Tony Parker,Guard,1982-5-17,6-2/1,88,180 lbs./81,6  kg.,6,SAS
574,Ruben Patterson,Forward,1975-7-31,6-5/1,96,223 lbs./101,2 kg.,9,LAC
575,Chris Paul,Guard,1985-5-6,6-0/1,83,175 lbs./79,4  kg.,2,NOH
576,Aleksandar Pavlovic,Guard - Forward,1983-11-15,6-7/2,01,239 lbs./108,4 kg.,4,CLE
577,Kendrick Perkins,Center,1984-11-10,6-1/ 2,08,280 lbs./127,0 kg.,4,BOS
578,Morris Peterson,Guard - Forward,1977-8-26,6-7/2,01,220 lbs./99,8  kg.,7,NOH
579,Johan Petro,Center,1986-1-27,7-0/2,13,247 lbs./112,0 kg.,2,SEA
580,Paul Pierce,Guard - Forward,1977-10-13,6-7/2,01,235 lbs./106,6 kg.,9,BOS
581,Mickael Pietrus,Forward,1982-2-7,6-6/1,98,215 lbs./97,5  kg.,4,GSW
582,Scot Pollard,Center - Forward,1975-2-12,6-1/ 2,11,278 lbs./126,1 kg.,10,BOS
583,James Posey,Forward - Guard,1977-1-13,6-8/2,03,217 lbs./98,4  kg.,8,BOS
584,Leon Powe,Forward,1984-1-22,6-8/2,03,240 lbs./108,9 kg.,1,BOS
585,Josh Powell,Forward,1983-1-25,6-9/2,06,240 lbs./108,9 kg.,2,LAC
586,Ronnie Price,Guard,1983-6-21,6-2/1,88,190 lbs./86,2  kg.,2,UTA
587,Tayshaun Prince,Forward,1980-2-28,6-9/2,06,215 lbs./97,5  kg.,5,DET
588,Joel Przybilla,Center,1979-10-10,7-1/2,16,255 lbs./115,7 kg.,7,POR
589,Chris Quinn,Guard,1983-9-27,6-2/1,88,175 lbs./79,4  kg.,1,MIA
590,Vladimir Radmanovic,Forward,1980-11-19,6-1/ 2,08,235 lbs./106,6 kg.,6,LAL
591,Zach Randolph,Forward,1981-7-16,6-9/2,06,260 lbs./117,9 kg.,6,NYK
592,Theo Ratliff,Center - Forward,1973-4-17,6-1/ 2,08,235 lbs./106,6 kg.,12,MIN
593,Michael Redd,Guard,1979-8-24,6-6/1,98,215 lbs./97,5  kg.,7,MIL
594,J.J. Redick,Guard,1984-6-24,6-4/1,93,190 lbs./86,2  kg.,1,ORL
595,Jason Richardson,Guard - Forward,1981-1-20,6-6/1,98,225 lbs./102,1 kg.,6,CHA
596,Quentin Richardson,Forward - Guard,1980-4-13,6-6/1,98,235 lbs./106,6 kg.,7,NYK
597,Luke Ridnour,Guard,1981-2-13,6-2/1,88,175 lbs./79,4  kg.,4,SEA
598,Nate Robinson,Guard,1984-5-31,5-9/1,75,180 lbs./81,6  kg.,2,NYK
599,Sergio Rodriguez,Guard,1986-6-12,6-3/1,91,168 lbs./76,2  kg.,1,POR
600,Rajon Rondo,Guard,1986-2-22,6-1/1,85,171 lbs./77,6  kg.,1,BOS
601,Quinton Ross,Forward,1981-4-30,6-6/1,98,193 lbs./87,5  kg.,3,LAC
602,Brandon Roy,Guard,1984-7-23,6-6/1,98,229 lbs./103,9 kg.,1,POR
